"estrato","k","wmin2017","wmin2012"
"1","13",96.6282014680921,90.9827675812234
"1","110",96.6282014680921,90.9827675812234
"1","11",96.6282014680921,90.9827675812234
"1","6",96.6282014680921,90.9827675812234
"1","224",96.6282014680921,90.9827675812234
"1","10",96.6282014680921,90.9827675812234
"1","227",96.6282014680921,90.9827675812234
"1","125",96.6282014680921,90.9827675812234
"1","1",96.6282014680921,90.9827675812234
"1","89",96.6282014680921,90.9827675812234
"1","118",96.6282014680921,90.9827675812234
"1","2",96.6282014680921,90.9827675812234
"1","12",96.6282014680921,90.9827675812234
"1","74",96.6282014680921,90.9827675812234
"1","215",96.6282014680921,90.9827675812234
"1","205",96.6282014680921,90.9827675812234
"1","5",96.6282014680921,90.9827675812234
"1","4",96.6282014680921,90.9827675812234
"1","119",96.6282014680921,90.9827675812234
"1","111",96.6282014680921,90.9827675812234
"1","3",96.6282014680921,90.9827675812234
"1","226",96.6282014680921,90.9827675812234
"2","456",96.6282014680921,90.9827675812234
"2","321",96.6282014680921,90.9827675812234
"2","263",96.6282014680921,90.9827675812234
"2","279",96.6282014680921,90.9827675812234
"2","100",96.6282014680921,90.9827675812234
"2","457",96.6282014680921,90.9827675812234
"2","72",96.6282014680921,90.9827675812234
"2","603",96.6282014680921,90.9827675812234
"2","325",96.6282014680921,90.9827675812234
"2","38",96.6282014680921,90.9827675812234
"2","178",96.6282014680921,90.9827675812234
"2","326",96.6282014680921,90.9827675812234
"2","455",96.6282014680921,90.9827675812234
"2","216",96.6282014680921,90.9827675812234
"2","15",96.6282014680921,90.9827675812234
"2","66",96.6282014680921,90.9827675812234
"2","322",96.6282014680921,90.9827675812234
"2","64",96.6282014680921,90.9827675812234
"2","8",96.6282014680921,90.9827675812234
"2","648",96.6282014680921,90.9827675812234
"2","158",96.6282014680921,90.9827675812234
"2","78",96.6282014680921,90.9827675812234
"2","622",96.6282014680921,90.9827675812234
"2","179",96.6282014680921,90.9827675812234
"2","171",96.6282014680921,90.9827675812234
"2","289",96.6282014680921,90.9827675812234
"2","27",96.6282014680921,90.9827675812234
"2","85",96.6282014680921,90.9827675812234
"2","324",96.6282014680921,90.9827675812234
"2","56",96.6282014680921,90.9827675812234
"2","98",96.6282014680921,90.9827675812234
"2","607",96.6282014680921,90.9827675812234
"2","22",96.6282014680921,90.9827675812234
"2","75",96.6282014680921,90.9827675812234
"2","320",96.6282014680921,90.9827675812234
"2","602",96.6282014680921,90.9827675812234
"2","25",96.6282014680921,90.9827675812234
"2","124",96.6282014680921,90.9827675812234
"2","14",96.6282014680921,90.9827675812234
"2","49",96.6282014680921,90.9827675812234
"2","17",96.6282014680921,90.9827675812234
"2","41",96.6282014680921,90.9827675812234
"2","88",96.6282014680921,90.9827675812234
"2","458",96.6282014680921,90.9827675812234
"2","7",96.6282014680921,90.9827675812234
"2","60",96.6282014680921,90.9827675812234
"2","43",96.6282014680921,90.9827675812234
"2","9",96.6282014680921,90.9827675812234
"2","50",96.6282014680921,90.9827675812234
"2","42",96.6282014680921,90.9827675812234
"2","34",96.6282014680921,90.9827675812234
"2","605",96.6282014680921,90.9827675812234
"2","18",96.6282014680921,90.9827675812234
"2","164",96.6282014680921,90.9827675812234
"2","24",96.6282014680921,90.9827675812234
"2","39",96.6282014680921,90.9827675812234
"2","318",96.6282014680921,90.9827675812234
"2","283",96.6282014680921,90.9827675812234
"2","252",96.6282014680921,90.9827675812234
"2","26",96.6282014680921,90.9827675812234
"2","108",96.6282014680921,90.9827675812234
"2","109",96.6282014680921,90.9827675812234
"2","121",96.6282014680921,90.9827675812234
"2","105",96.6282014680921,90.9827675812234
"2","191",96.6282014680921,90.9827675812234
"2","19",96.6282014680921,90.9827675812234
"2","69",96.6282014680921,90.9827675812234
"2","138",96.6282014680921,90.9827675812234
"2","53",96.6282014680921,90.9827675812234
"2","20",96.6282014680921,90.9827675812234
"2","51",96.6282014680921,90.9827675812234
"2","266",96.6282014680921,90.9827675812234
"2","223",96.6282014680921,90.9827675812234
"2","120",96.6282014680921,90.9827675812234
"2","416",96.6282014680921,90.9827675812234
"2","23",96.6282014680921,90.9827675812234
"2","52",96.6282014680921,90.9827675812234
"2","188",96.6282014680921,90.9827675812234
"2","103",96.6282014680921,90.9827675812234
"2","67",96.6282014680921,90.9827675812234
"2","68",96.6282014680921,90.9827675812234
"2","59",96.6282014680921,90.9827675812234
"2","113",96.6282014680921,90.9827675812234
"2","33",96.6282014680921,90.9827675812234
"2","167",96.6282014680921,90.9827675812234
"2","101",96.6282014680921,90.9827675812234
"2","112",96.6282014680921,90.9827675812234
"2","126",96.6282014680921,90.9827675812234
"2","317",96.6282014680921,90.9827675812234
"2","601",96.6282014680921,90.9827675812234
"2","57",96.6282014680921,90.9827675812234
"2","170",96.6282014680921,90.9827675812234
"2","225",96.6282014680921,90.9827675812234
"2","40",96.6282014680921,90.9827675812234
"2","102",96.6282014680921,90.9827675812234
"2","29",96.6282014680921,90.9827675812234
"2","32",96.6282014680921,90.9827675812234
"2","319",96.6282014680921,90.9827675812234
"2","16",96.6282014680921,90.9827675812234
"2","104",96.6282014680921,90.9827675812234
"2","285",96.6282014680921,90.9827675812234
"2","323",96.6282014680921,90.9827675812234
"2","222",96.6282014680921,90.9827675812234
"2","316",96.6282014680921,90.9827675812234
"2","173",96.6282014680921,90.9827675812234
"2","71",96.6282014680921,90.9827675812234
"2","127",96.6282014680921,90.9827675812234
"2","28",96.6282014680921,90.9827675812234
"2","305",96.6282014680921,90.9827675812234
"2","116",96.6282014680921,90.9827675812234
"2","63",96.6282014680921,90.9827675812234
"2","122",96.6282014680921,90.9827675812234
"2","30",96.6282014680921,90.9827675812234
"2","21",96.6282014680921,90.9827675812234
"2","117",96.6282014680921,90.9827675812234
"2","272",96.6282014680921,90.9827675812234
"2","31",96.6282014680921,90.9827675812234
"2","58",96.6282014680921,90.9827675812234
"2","87",96.6282014680921,90.9827675812234
"3","300",96.6282014680921,90.9827675812234
"3","129",96.6282014680921,90.9827675812234
"3","281",96.6282014680921,90.9827675812234
"3","135",96.6282014680921,90.9827675812234
"3","277",96.6282014680921,90.9827675812234
"3","70",96.6282014680921,90.9827675812234
"3","61",96.6282014680921,90.9827675812234
"3","36",96.6282014680921,90.9827675812234
"3","123",96.6282014680921,90.9827675812234
"3","134",96.6282014680921,90.9827675812234
"3","168",96.6282014680921,90.9827675812234
"3","282",96.6282014680921,90.9827675812234
"3","90",96.6282014680921,90.9827675812234
"3","132",96.6282014680921,90.9827675812234
"3","251",96.6282014680921,90.9827675812234
"3","600",96.6282014680921,90.9827675812234
"3","97",96.6282014680921,90.9827675812234
"3","270",96.6282014680921,90.9827675812234
"3","267",96.6282014680921,90.9827675812234
"3","265",96.6282014680921,90.9827675812234
"3","156",96.6282014680921,90.9827675812234
"3","302",96.6282014680921,90.9827675812234
"3","221",96.6282014680921,90.9827675812234
"3","172",96.6282014680921,90.9827675812234
"3","62",96.6282014680921,90.9827675812234
"3","280",96.6282014680921,90.9827675812234
"3","35",96.6282014680921,90.9827675812234
"3","131",96.6282014680921,90.9827675812234
"3","209",96.6282014680921,90.9827675812234
"3","264",96.6282014680921,90.9827675812234
"3","92",96.6282014680921,90.9827675812234
"3","94",96.6282014680921,90.9827675812234
"3","81",96.6282014680921,90.9827675812234
"3","145",96.6282014680921,90.9827675812234
"3","169",96.6282014680921,90.9827675812234
"3","312",96.6282014680921,90.9827675812234
"3","77",96.6282014680921,90.9827675812234
"3","65",96.6282014680921,90.9827675812234
"3","315",96.6282014680921,90.9827675812234
"3","292",96.6282014680921,90.9827675812234
"3","293",96.6282014680921,90.9827675812234
"3","133",96.6282014680921,90.9827675812234
"3","218",96.6282014680921,90.9827675812234
"3","219",96.6282014680921,90.9827675812234
"3","155",96.6282014680921,90.9827675812234
"3","73",96.6282014680921,90.9827675812234
"3","84",96.6282014680921,90.9827675812234
"3","79",96.6282014680921,90.9827675812234
"3","217",96.6282014680921,90.9827675812234
"3","298",96.6282014680921,90.9827675812234
"3","128",96.6282014680921,90.9827675812234
"3","161",96.6282014680921,90.9827675812234
"3","37",96.6282014680921,90.9827675812234
"3","284",96.6282014680921,90.9827675812234
"3","208",96.6282014680921,90.9827675812234
"3","160",96.6282014680921,90.9827675812234
"3","47",96.6282014680921,90.9827675812234
"3","175",96.6282014680921,90.9827675812234
"3","95",96.6282014680921,90.9827675812234
"3","45",96.6282014680921,90.9827675812234
"3","314",96.6282014680921,90.9827675812234
"3","299",96.6282014680921,90.9827675812234
"3","296",96.6282014680921,90.9827675812234
"3","139",96.6282014680921,90.9827675812234
"3","55",96.6282014680921,90.9827675812234
"3","44",96.6282014680921,90.9827675812234
"3","130",96.6282014680921,90.9827675812234
"3","165",96.6282014680921,90.9827675812234
"3","114",96.6282014680921,90.9827675812234
"3","82",96.6282014680921,90.9827675812234
"3","83",96.6282014680921,90.9827675812234
"3","54",96.6282014680921,90.9827675812234
"3","115",96.6282014680921,90.9827675812234
"3","136",96.6282014680921,90.9827675812234
"3","140",96.6282014680921,90.9827675812234
"3","93",96.6282014680921,90.9827675812234
"3","166",96.6282014680921,90.9827675812234
"3","137",96.6282014680921,90.9827675812234
"3","80",96.6282014680921,90.9827675812234
"3","274",96.6282014680921,90.9827675812234
"3","159",96.6282014680921,90.9827675812234
"3","269",96.6282014680921,90.9827675812234
"3","48",96.6282014680921,90.9827675812234
"3","91",96.6282014680921,90.9827675812234
"3","46",96.6282014680921,90.9827675812234
"3","210",96.6282014680921,90.9827675812234
"3","273",96.6282014680921,90.9827675812234
"3","76",96.6282014680921,90.9827675812234
"3","86",96.6282014680921,90.9827675812234
"3","417",96.6282014680921,90.9827675812234
"3","107",96.6282014680921,90.9827675812234
"3","212",96.6282014680921,90.9827675812234
"3","106",96.6282014680921,90.9827675812234
"4","184",96.6282014680921,90.9827675812234
"4","183",96.6282014680921,90.9827675812234
"4","306",96.6282014680921,90.9827675812234
"4","288",96.6282014680921,90.9827675812234
"4","176",96.6282014680921,90.9827675812234
"4","294",96.6282014680921,90.9827675812234
"4","291",96.6282014680921,90.9827675812234
"4","271",96.6282014680921,90.9827675812234
"4","177",96.6282014680921,90.9827675812234
"4","207",96.6282014680921,90.9827675812234
"4","206",96.6282014680921,90.9827675812234
"4","143",96.6282014680921,90.9827675812234
"4","150",96.6282014680921,90.9827675812234
"4","190",96.6282014680921,90.9827675812234
"4","201",96.6282014680921,90.9827675812234
"4","96",96.6282014680921,90.9827675812234
"4","146",96.6282014680921,90.9827675812234
"4","149",96.6282014680921,90.9827675812234
"4","152",96.6282014680921,90.9827675812234
"4","151",96.6282014680921,90.9827675812234
"4","189",96.6282014680921,90.9827675812234
"4","180",96.6282014680921,90.9827675812234
"4","268",96.6282014680921,90.9827675812234
"4","174",96.6282014680921,90.9827675812234
"4","247",96.6282014680921,90.9827675812234
"4","144",96.6282014680921,90.9827675812234
"4","254",96.6282014680921,90.9827675812234
"4","141",96.6282014680921,90.9827675812234
"4","154",96.6282014680921,90.9827675812234
"4","202",96.6282014680921,90.9827675812234
"4","233",96.6282014680921,90.9827675812234
"4","187",96.6282014680921,90.9827675812234
"4","162",96.6282014680921,90.9827675812234
"4","99",96.6282014680921,90.9827675812234
"4","211",96.6282014680921,90.9827675812234
"4","275",96.6282014680921,90.9827675812234
"4","153",96.6282014680921,90.9827675812234
"4","303",96.6282014680921,90.9827675812234
"4","220",96.6282014680921,90.9827675812234
"4","313",96.6282014680921,90.9827675812234
"4","163",96.6282014680921,90.9827675812234
"4","637",96.6282014680921,90.9827675812234
"4","194",96.6282014680921,90.9827675812234
"4","276",96.6282014680921,90.9827675812234
"4","142",96.6282014680921,90.9827675812234
"5","286",96.6282014680921,90.9827675812234
"5","200",96.6282014680921,90.9827675812234
"5","196",96.6282014680921,90.9827675812234
"5","204",96.6282014680921,90.9827675812234
"5","193",96.6282014680921,90.9827675812234
"5","185",96.6282014680921,90.9827675812234
"5","214",96.6282014680921,90.9827675812234
"5","213",96.6282014680921,90.9827675812234
"5","649",96.6282014680921,90.9827675812234
"5","278",96.6282014680921,90.9827675812234
"5","297",96.6282014680921,90.9827675812234
"5","181",96.6282014680921,90.9827675812234
"5","290",96.6282014680921,90.9827675812234
"5","309",96.6282014680921,90.9827675812234
"5","311",96.6282014680921,90.9827675812234
"5","192",96.6282014680921,90.9827675812234
"5","304",96.6282014680921,90.9827675812234
"5","301",96.6282014680921,90.9827675812234
"5","195",96.6282014680921,90.9827675812234
"5","259",96.6282014680921,90.9827675812234
"5","260",96.6282014680921,90.9827675812234
"5","197",96.6282014680921,90.9827675812234
"5","186",96.6282014680921,90.9827675812234
"5","253",96.6282014680921,90.9827675812234
"5","255",96.6282014680921,90.9827675812234
"5","157",96.6282014680921,90.9827675812234
"5","262",96.6282014680921,90.9827675812234
"5","310",96.6282014680921,90.9827675812234
"5","419",96.6282014680921,90.9827675812234
"5","199",96.6282014680921,90.9827675812234
"5","295",96.6282014680921,90.9827675812234
"5","307",96.6282014680921,90.9827675812234
"5","182",96.6282014680921,90.9827675812234
"5","287",96.6282014680921,90.9827675812234
"5","198",96.6282014680921,90.9827675812234
"5","308",96.6282014680921,90.9827675812234
"5","203",96.6282014680921,90.9827675812234
"6","228",96.6282014680921,90.9827675812234
"6","242",96.6282014680921,90.9827675812234
"6","245",96.6282014680921,90.9827675812234
"6","240",96.6282014680921,90.9827675812234
"6","239",96.6282014680921,90.9827675812234
"6","257",96.6282014680921,90.9827675812234
"6","244",96.6282014680921,90.9827675812234
"6","230",96.6282014680921,90.9827675812234
"6","232",96.6282014680921,90.9827675812234
"6","237",96.6282014680921,90.9827675812234
"6","148",96.6282014680921,90.9827675812234
"6","236",96.6282014680921,90.9827675812234
"6","234",96.6282014680921,90.9827675812234
"6","261",96.6282014680921,90.9827675812234
"6","418",96.6282014680921,90.9827675812234
"6","246",96.6282014680921,90.9827675812234
"6","256",96.6282014680921,90.9827675812234
"6","249",96.6282014680921,90.9827675812234
"6","229",96.6282014680921,90.9827675812234
"6","241",96.6282014680921,90.9827675812234
"6","258",96.6282014680921,90.9827675812234
"6","248",96.6282014680921,90.9827675812234
"6","231",96.6282014680921,90.9827675812234
"6","243",96.6282014680921,90.9827675812234
"6","250",96.6282014680921,90.9827675812234
"6","238",96.6282014680921,90.9827675812234
"6","235",96.6282014680921,90.9827675812234
