"k","tapub2012","tapub2012_percap"
"100",130.058767296024,0.498309453241471
"101",142.398184960471,0.545586915557361
"102",125.069488225895,0.479193441478526
"103",139.784618207296,0.535573249836384
"104",178.494445512583,0.683886764416026
"105",171.700965949622,0.657858107086676
"107",156.907065191153,0.601176494985259
"108",143.775889468097,0.550865476889259
"109",126.31527295417,0.483966563042795
"110",119.978177258607,0.459686502906539
"111",140.826298556778,0.539564362286505
"112",145.352971394216,0.556907936376308
"113",153.208945448808,0.58700745382685
"115",132.197194980383,0.506502662760089
"116",0.588990324224805,0.0022566679089073
"117",192.999248475756,0.739460722129333
"118",176.98590067158,0.678106899124826
"119",141.45654547162,0.541979101423832
"120",173.035243157794,0.66297028029806
"121",149.636435224222,0.57331967518859
"122",184.426156014013,0.706613624574762
"123",178.615717776343,0.684351409104764
"124",160.157311657589,0.613629546580801
"125",0.0140009730792093,5.36435750161275e-05
"126",171.25070830421,0.656132982008469
"127",213.148751321451,0.816661882457667
"128",184.257341086849,0.705966824087545
"129",188.493808230489,0.722198498967389
"130",176.7895835793,0.67735472635747
"131",184.126557900375,0.705465739081897
"132",173.030629377444,0.662952602978713
"133",206.167529838877,0.789913907428646
"134",211.294166687021,0.809556194203145
"135",226.105675298884,0.866305269344382
"136",208.838668604435,0.800148155572547
"137",203.320908449916,0.779007312068645
"138",163.476104805927,0.626345229141481
"139",205.275624398379,0.786496645204518
"140",214.699446033365,0.822603241507145
"141",209.443077875542,0.80246389990629
"142",218.247459917181,0.836197164433642
"143",232.855848286324,0.892168001097026
"144",228.085903764925,0.873892351589751
"145",217.039219392548,0.831567890392904
"146",230.941230873289,0.884832302196511
"148",132.249469465165,0.506702948142394
"149",233.972894901867,0.896447873187229
"150",227.961239368171,0.873414710222876
"151",238.60338762558,0.914189224619082
"152",228.36963439724,0.87497944213502
"153",258.261318101793,0.989506965907253
"154",247.731239844634,0.949161838485189
"155",256.666632974866,0.983397061206382
"156",220.196149435395,0.84366340779845
"157",218.498826937322,0.837160256464836
"158",224.816712030168,0.861366712759263
"159",237.967314403736,0.911752162466422
"16",139.798441497878,0.535626212635549
"160",238.769292284914,0.914824874654844
"161",237.771181018347,0.911000693556887
"162",262.55812483287,1.00596982694586
"163",278.0086558389,1.06516726375058
"164",268.650818151104,1.02931347950615
"165",256.632761524432,0.983267285534223
"166",248.054996926908,0.950402287076276
"167",233.819353878011,0.895859593402341
"168",228.263248032086,0.87457183154056
"169",244.623768670713,0.937255818661735
"17",149.649342325512,0.573369127683955
"170",263.552769270155,1.00978072517301
"171",248.943338446377,0.953805894430562
"172",247.658900948094,0.948884677962048
"173",241.220172949378,0.924215222028268
"174",229.941378365883,0.881001449677713
"175",241.250835803482,0.924332704227901
"176",239.988327741293,0.91949550858733
"177",235.346502431691,0.901710737286172
"178",230.272915287317,0.882271706081674
"179",240.556000609636,0.921670500420062
"18",155.751797471999,0.596750181885055
"180",216.672894366405,0.830164346231437
"181",239.996093438018,0.919525262214628
"182",227.678658341489,0.872332024296894
"183",232.828546019822,0.89206339471196
"184",204.129118805229,0.782103903468312
"185",200.888400858577,0.769687359611406
"186",196.039966581489,0.751110983070839
"187",183.024269083885,0.701242410283083
"188",209.781934265358,0.803762200250414
"189",223.873257697492,0.857751945201118
"19",174.148073246798,0.66723399711417
"190",202.752124967311,0.776828065008856
"191",185.028807508333,0.708922634131545
"192",180.017348668129,0.689721642406624
"193",221.344905062776,0.848064770355465
"194",201.418810714008,0.771719581279723
"195",201.21482526937,0.770938027851993
"196",185.449840692766,0.710535788094887
"197",187.488855806205,0.718348106537184
"198",183.912764722084,0.704646608130589
"199",170.921300749445,0.654870884097492
"20",169.713418533055,0.65024298288527
"200",224.04533584325,0.858411248441573
"201",210.111725223239,0.805025767138845
"202",185.743796280131,0.711662054713146
"203",173.8945644358,0.66626269898774
"204",164.574397114754,0.630553245650398
"205",180.694397800543,0.692315700385223
"206",169.314061036387,0.648712877534051
"207",183.789059082765,0.70417264016385
"208",212.076126814552,0.812552210017442
"209",191.664192232322,0.734345564108514
"21",194.322792009573,0.744531770151619
"210",183.259730030101,0.702144559502303
"211",187.808396195946,0.719572399218184
"212",166.524816220877,0.638026115788802
"213",153.310956087132,0.587398299184414
"214",140.942375617037,0.540009101980986
"215",0.0883351689369648,0.000338448923130134
"216",194.801939668545,0.746367584936955
"217",193.139390148813,0.739997663405415
"218",228.113611882254,0.873998512958828
"219",230.152846607249,0.88181167282471
"22",187.374716641745,0.717910791730825
"220",166.360070921967,0.637394907747001
"221",167.375872844951,0.641286869137744
"222",182.851588147562,0.700580797500237
"223",180.654672647832,0.69216349673499
"225",152.440797820929,0.584064359467161
"226",162.153509885923,0.621277815654876
"227",158.591989851847,0.607632145026233
"229",156.030133683022,0.597816604149509
"230",148.361208738419,0.568433749955628
"231",141.747239514139,0.543092871701682
"232",138.546669147167,0.530830149989145
"233",123.42004029816,0.472873717617473
"234",163.75044433807,0.627396338460038
"235",162.386373595575,0.622170013776149
"236",128.407914996143,0.491984348644225
"237",123.556892627252,0.473398056043111
"238",136.937292015095,0.524663954080825
"239",172.812057603109,0.662115163230301
"240",174.59195049548,0.668934676227893
"241",1.77114129685722,0.00678598198029588
"242",142.633862387589,0.546489894205321
"243",152.49609383978,0.584276221608354
"244",155.266688287702,0.594891526006522
"245",175.131581659533,0.671002228580588
"246",188.80194322234,0.723379092805901
"247",206.042740199111,0.78943578620349
"248",187.311604140822,0.71766898138246
"249",171.504146355915,0.657104009026493
"250",155.982088350662,0.597632522416328
"251",162.935107893535,0.624272444036531
"252",229.047067192023,0.877574970084379
"253",196.02218306289,0.751042846984254
"254",224.982562366772,0.862002154661961
"255",221.121607356104,0.847209223586604
"256",209.007254209556,0.80079407743125
"257",175.099229487364,0.670878273897947
"258",169.989630945292,0.651301267989626
"259",201.52539681379,0.772127957140957
"260",207.4881805506,0.794973871841378
"261",182.509059876168,0.699268428644324
"263",187.916260957974,0.719985674168484
"264",226.023306904844,0.865989681627756
"268",193.205107198741,0.74024945286874
"270",193.767440925295,0.74240398821952
"271",193.726998840735,0.742249037703965
"272",220.516141081761,0.844889429432033
"273",205.143202096668,0.785989280063862
"274",170.227338444935,0.652212024693237
"279",215.39296357801,0.825260396850613
"283",169.581763532517,0.649738557595851
"284",192.757346756799,0.738533895619919
"285",154.984206130462,0.59380921889066
"288",183.618146970855,0.703517804486034
"289",170.327845757292,0.652597110181194
"293",194.645383842424,0.745767754185531
"294",189.244375946403,0.725074237342541
"295",180.18705381915,0.690371853713219
"296",149.84285907407,0.574110571165018
"297",207.353486172709,0.794457801428003
"30",158.790957558278,0.608394473403363
"303",185.986785724486,0.712593048752819
"304",169.129602038355,0.648006138077988
"305",175.940925166009,0.674103161555591
"309",221.486913865055,0.848608865383351
"31",149.994261342856,0.574690656486038
"312",178.908742903218,0.6854741107403
"313",177.700887989785,0.680846314137109
"314",198.162007079614,0.759241406435303
"315",195.387584186128,0.748611433663327
"32",157.724386325708,0.604307993585088
"321",0.303747311323409,0.0011637828020054
"322",0.0318656005073066,0.000122090423399642
"33",179.505268863603,0.687759650818403
"34",178.428762056652,0.683635103665333
"35",182.231657080784,0.698205582684997
"36",189.303180300563,0.725299541381468
"37",197.364353233163,0.756185261429744
"38",0,0
"416",0,0
"42",160.44810387279,0.614743692999197
"43",153.927608749844,0.589760953064537
"44",211.743107813164,0.811276275146222
"45",187.618007877578,0.718842942059687
"46",188.821551619121,0.723454220762917
"47",190.653122804251,0.730471734882186
"48",214.76651528429,0.822860211817201
"49",170.232339646442,0.652231186384836
"53",163.192757059143,0.625259605590586
"54",210.732495239735,0.807404196320822
"55",226.717612184717,0.868649855113856
"56",164.916194033252,0.631862812387938
"57",169.491670093258,0.649393372004819
"58",0,0
"59",164.801656663294,0.631423971890017
"60",161.031115365357,0.616977453507114
"600",180.198696086893,0.690416460103039
"602",0,0
"61",210.757993867723,0.807501892213497
"62",179.217840131061,0.686658391306747
"622",0,0
"63",211.392823932464,0.809934191312121
"637",168.96714007415,0.647383678445021
"64",211.684935328223,0.811053392062157
"65",234.409704107495,0.898121471676226
"66",206.581412224955,0.791499663697147
"67",201.114188778583,0.77055244742752
"68",237.281140628819,0.909123144171721
"69",224.121780989106,0.858704141720712
"7",149.294124987062,0.57200814171288
"70",209.967114688082,0.804471703785756
"71",179.834439549959,0.689020841187582
"72",178.617549748207,0.684358428154052
"73",170.995257136163,0.655154241901006
"74",168.489546614131,0.645553818444948
"75",241.186786149564,0.924087303255035
"78",189.521754142825,0.726136989052969
"79",165.569683242313,0.63436660246097
"80",178.045123778732,0.682165225205868
"81",172.406406605048,0.660560944846927
"82",173.115621159581,0.663278241990732
"83",185.501166486437,0.710732438645351
"84",189.19134267718,0.724871044740153
"85",204.62236919622,0.783993751709656
"86",199.591230760702,0.764717359236406
"87",201.371804142966,0.771539479474964
"88",157.59059077864,0.603795366967968
"89",158.566681599923,0.607535178543766
"90",154.70146302438,0.592725911970804
"91",161.346489791563,0.618185784642003
"92",133.242041223851,0.510505905072226
"93",142.821172065307,0.547207555805775
"94",167.981821669181,0.643608512142454
"95",158.022949567351,0.605451914051154
"96",174.672404274368,0.669242928254284
"97",173.538252120129,0.664897517701642
"98",171.993375660511,0.658978450806557
"99",169.54279183061,0.649589240730308
